state,growth_rate,n_active_reactions,total_flux,top_fluxes
resting,124.8681483774457,722,123987.44551954215,"{'MAR04583': 1000.0000000000001, 'MAR09439': 1000.0000000000001, 'MAR09927': 1000.0000000000001, 'MAR10427': 1000.0000000000001, 'MAR11349': 1000.0000000000001, 'MAR04358': 1000.0, 'MAR04373': 1000.0, 'MAR04280': 1000.0, 'MAR04354': 1000.0, 'MAR04398': 1000.0, 'MAR04710': 1000.0, 'MAR04579': 1000.0, 'MAR04584': 1000.0, 'MAR06765': 1000.0, 'MAR04152': 1000.0, 'MAR04410': 1000.0, 'MAR04652': 1000.0, 'MAR06916': 1000.0, 'MAR05082': 1000.0, 'MAR07781': 1000.0}"
active,124.8681483774457,722,123987.44551954215,"{'MAR04583': 1000.0000000000001, 'MAR09439': 1000.0000000000001, 'MAR09927': 1000.0000000000001, 'MAR10427': 1000.0000000000001, 'MAR11349': 1000.0000000000001, 'MAR04358': 1000.0, 'MAR04373': 1000.0, 'MAR04280': 1000.0, 'MAR04354': 1000.0, 'MAR04398': 1000.0, 'MAR04710': 1000.0, 'MAR04579': 1000.0, 'MAR04584': 1000.0, 'MAR06765': 1000.0, 'MAR04152': 1000.0, 'MAR04410': 1000.0, 'MAR04652': 1000.0, 'MAR06916': 1000.0, 'MAR05082': 1000.0, 'MAR07781': 1000.0}"
stressed,124.8681483774457,722,123987.44551954215,"{'MAR04583': 1000.0000000000001, 'MAR09439': 1000.0000000000001, 'MAR09927': 1000.0000000000001, 'MAR10427': 1000.0000000000001, 'MAR11349': 1000.0000000000001, 'MAR04358': 1000.0, 'MAR04373': 1000.0, 'MAR04280': 1000.0, 'MAR04354': 1000.0, 'MAR04398': 1000.0, 'MAR04710': 1000.0, 'MAR04579': 1000.0, 'MAR04584': 1000.0, 'MAR06765': 1000.0, 'MAR04152': 1000.0, 'MAR04410': 1000.0, 'MAR04652': 1000.0, 'MAR06916': 1000.0, 'MAR05082': 1000.0, 'MAR07781': 1000.0}"
exhausted,124.8681483774457,722,123987.44551954215,"{'MAR04583': 1000.0000000000001, 'MAR09439': 1000.0000000000001, 'MAR09927': 1000.0000000000001, 'MAR10427': 1000.0000000000001, 'MAR11349': 1000.0000000000001, 'MAR04358': 1000.0, 'MAR04373': 1000.0, 'MAR04280': 1000.0, 'MAR04354': 1000.0, 'MAR04398': 1000.0, 'MAR04710': 1000.0, 'MAR04579': 1000.0, 'MAR04584': 1000.0, 'MAR06765': 1000.0, 'MAR04152': 1000.0, 'MAR04410': 1000.0, 'MAR04652': 1000.0, 'MAR06916': 1000.0, 'MAR05082': 1000.0, 'MAR07781': 1000.0}"
failing,124.8681483774457,722,123987.44551954215,"{'MAR04583': 1000.0000000000001, 'MAR09439': 1000.0000000000001, 'MAR09927': 1000.0000000000001, 'MAR10427': 1000.0000000000001, 'MAR11349': 1000.0000000000001, 'MAR04358': 1000.0, 'MAR04373': 1000.0, 'MAR04280': 1000.0, 'MAR04354': 1000.0, 'MAR04398': 1000.0, 'MAR04710': 1000.0, 'MAR04579': 1000.0, 'MAR04584': 1000.0, 'MAR06765': 1000.0, 'MAR04152': 1000.0, 'MAR04410': 1000.0, 'MAR04652': 1000.0, 'MAR06916': 1000.0, 'MAR05082': 1000.0, 'MAR07781': 1000.0}"
